date;file;t32;t30;t08;t10;t02;t16;t24;t12;t00;t22;t28;t20;t04;t14;t06;t26;t18;dummy;t32n;t30n;t08n;t10n;t02n;t16n;t24n;t12n;t00n;t22n;t28n;t20n;t04n;t14n;t06n;t26n;t18n
2020-05-11;20200511T144629.png;12115;48855;6858;32447;33849;4750;42529;35949;491216;34098;17007;15382;15361;143966;21597;13303;13120;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020-05-18;20200518T161024.png;16359;70519;8562;38060;45700;5553;55985;48686;636046;42672;19888;17936;23824;177452;27188;22360;15302;NA;4244;21664;1704;5613;11851;803;13456;12737;144830;8574;2881;2554;8463;33486;5591;9057;2182
2020-05-25;20200525T161000.png;19975;91178;10489;43235;58003;6287;69143;62466;719576;50578;23478;20235;33081;210239;32240;31607;17342;NA;3616;20659;1927;5175;12303;734;13158;13780;83530;7906;3590;2299;9257;32787;5052;9247;2040
2020-06-01;20200601T181205.png;24992;108630;12268;48100;70568;7300;87422;75705;933464;59540;26743;23122;44390;244399;38067;43055;19163;NA;5017;17452;1779;4865;12565;1013;18279;13239;213888;8962;3265;2887;11309;34160;5827;11448;1821
2020-06-08;20200608T164000.png;29195;118694;14014;55510;81843;8469;103190;84937;1071140;71483;29169;26726;49449;276783;43264;57583;20831;NA;4203;10064;1746;7410;11275;1169;15768;9232;137676;11943;2426;3604;5059;32384;5197;14528;1668
2020-06-15;20200615T160001.png;33600;131753;15624;64067;90694;9584;118400;94502;1203647;79301;31235;30320;54081;306582;47420;73643;22841;NA;4405;13059;1610;8557;8851;1115;15210;9565;132507;7818;2066;3594;4632;29799;4156;16060;2010
2020-06-22;20200622T150002.png;39373;142083;17069;74727;101941;10923;134303;105332;1356512;89653;35435;34230;60254;340305;53205;92499;25180;NA;5773;10330;1445;10660;11247;1339;15903;10830;152865;10352;4200;3910;6173;33723;5785;18856;2339
2020-06-29;20200629T160000.png;45226;150721;18251;84616;109854;12345;148096;115419;1499659;99302;39032;38236;67373;368593;59374;115180;28041;NA;5853;8638;1182;9889;7913;1422;13793;10087;143147;9649;3597;4006;7119;28288;6169;22681;2861
2020-07-06;20200706T160001.png;50681;162336;19.936;93977;117584;13656;169612;126083;1655914;108884;42111;42168;13929;397618;64459;142483;30397;NA;5455;11615;-18231.064;9361;7730;1311;21516;10664;156255;9582;3079;3932;-53444;29025;5085;27303;2356
2020-07-13;20200713T160001.png;56438;173502;21572;104426;139223;14878;182812;137004;1814280;116754;45173;45844;80281;422721;70625;169938;33089;NA;5757;11166;21552.064;10449;21639;1222;13200;10921;158366;7870;3062;3676;66352;25103;6166;27455;2692
2020-07-20;20200720T160001.png;62753;184341;23414;113996;148743;16068;196375;148726;1972355;126268;47992;48989;86816;448231;76710;206333;36600;NA;6315;10839;1842;9570;9520;1190;13563;11722;158075;9514;2819;3145;6535;25510;6085;36395;3511
2020-07-27;20200727T160001.png;69404;194131;25020;123532;158614;17292;209437;163298;2134486;135924;51060;51586;93765;473511;81723;246766;39423;NA;6651;9790;1606;9536;9871;1224;13062;14572;162131;9656;3068;2597;6949;25280;5013;40433;2823
