date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04140600;USA;;587155;+214;23644;+4;36948;526563;12772;1774;71;2943955;8894;NorthAmerica
04140600;Spain;;170099;;17756;;64727;87616;7371;3638;380;600000;12833;Europe
04140600;Italy;;159516;;20465;;35435;103616;3260;2638;338;1046910;17315;Europe
04140600;France;;136779;;14967;;27718;94094;6821;2095;229;333807;5114;Europe
04140600;Germany;;130072;;3194;;64300;62578;4895;1552;38;1317887;15730;Europe
04140600;UK;;88621;;11329;;N/A;76948;1559;1305;167;367667;5416;Europe
04140600;Iran;;73303;;4585;;45983;22735;3877;873;55;275427;3279;Asia
04140600;Turkey;;61049;;1296;;3957;55796;1786;724;15;410556;4868;Asia
04140600;Belgium;;30589;;3903;;6707;19979;1234;2639;337;102151;8814;Europe
04140600;Netherlands;;26551;;2823;;250;23478;1358;1550;165;115992;6769;Europe
04140600;Switzerland;;25688;;1138;;13700;10850;386;2968;131;193800;22393;Europe
04140600;Canada;;25680;;780;;7756;17144;557;680;21;437475;11591;NorthAmerica
04140600;Brazil;;23723;+293;1355;+27;173;22195;296;112;6;62985;296;SouthAmerica
04140600;Russia;;18328;;148;;1470;16710;8;126;1;1300000;8908;Europe
04140600;Portugal;;16934;;535;;277;16122;188;1661;52;182707;17918;Europe
04140600;Austria;;14041;;368;;7343;6330;239;1559;41;148412;16479;Europe
04140600;Israel;;11586;;116;;1855;9615;181;1339;13;117339;13557;Asia
04140600;Sweden;;10948;;919;;381;9648;859;1084;91;54700;5416;Europe
04140600;Ireland;;10647;;365;;25;10257;194;2156;74;72000;14581;Europe
04140600;S. Korea;;10564;+27;222;+5;7534;2808;55;206;4;527438;10288;Asia
04140600;India;;10453;;358;;1181;8914;;8;0.3;206212;149;Asia
04140600;Peru;;9784;;216;;2642;6926;143;297;7;87116;2642;SouthAmerica
04140600;Japan;;7645;+27;143;;799;6703;135;60;1;77381;612;Asia
04140600;Ecuador;;7529;;355;;597;6577;121;427;20;24553;1392;SouthAmerica
04140600;Chile;;7525;;82;;2367;5076;387;394;4;85035;4448;SouthAmerica
04140600;Poland;;6934;;245;;487;6202;160;183;6;143630;3795;Europe
04140600;Romania;;6633;;331;;914;5388;231;345;17;67204;3493;Europe
04140600;Norway;;6605;+2;134;;32;6439;59;1218;25;127305;23483;Europe
04140600;Australia;;6394;+35;61;;3494;2839;79;251;2;362136;14201;Australia/Oceania
04140600;Denmark;;6318;;285;;2235;3798;100;1091;49;72099;12448;Europe
04140600;Czechia;;6059;;143;;519;5397;100;566;13;128359;11986;Europe
04140600;Pakistan;;5707;+211;96;+3;1097;4514;44;26;0.4;65144;295;Asia
04140600;Mexico;;5014;+353;332;+36;1964;2718;207;39;3;37395;290;NorthAmerica
04140600;Saudi Arabia;;4934;;65;;805;4064;59;142;2;115585;3320;Asia
04140600;Philippines;;4932;;315;;242;4375;1;45;3;33814;309;Asia
04140600;Malaysia;;4817;;77;;2276;2464;66;149;2;81730;2525;Asia
04140600;Indonesia;;4557;;399;;380;3778;;17;1;27075;99;Asia
04140600;UAE;;4521;;25;;852;3644;1;457;3;648195;65538;Asia
04140600;Serbia;;4054;;85;;400;3569;138;464;10;20958;2399;Europe
