;" class="hide">{"description":"","data":"Województwo;Liczba;Liczba na 10 tys. mieszkańców;Wszystkie przypadki śmiertelne;Przypadki śmiertelne w wyniku Covid;Przypadki śmiertelne w wyniku chorób współistniejących;id
;Cały kraj;10139;2,64;540;55;485;t00
;dolnośląskie;1035;3,58;51;1;50;t02
;kujawsko-pomorskie;521;2,52;17;0;17;t04
;lubelskie;670;3,19;8;2;6;t06
;lubuskie;267;2,65;14;5;9;t08
;łódzkie;563;2,3;39;10;29;t10
;małopolskie;486;1,43;64;19;45;t12
;mazowieckie;1166;2,15;51;1;50;t14
;opolskie;512;5,22;24;0;24;t16
;podkarpackie;540;2,54;13;3;10;t18
;podlaskie;309;2,63;19;0;19;t20
;pomorskie;979;4,17;35;3;32;t22
;śląskie;945;2,1;77;3;74;t24
;świętokrzyskie;359;2,92;17;0;17;t26
;warmińsko-mazurskie;473;3,33;31;2;29;t28
;wielkopolskie;630;1,8;41;1;40;t30
;zachodniopomorskie;457;2,7;39;5;34;t32
